n_ibtracs_points,frac_missing_wmo_wind,frac_missing_usa_wind,frac_missing_newdelhi_wind,frac_track_not_main,frac_nature_nr,n_ready_points,frac_newdelhi_wind_missing_ready,frac_irregular_dt,frac_latnext_mismatch,genesis_year,SID
58,1.0,1.0,1.0,0.0,0.0,54.0,1.0,0.0,0.0,1898.0,1898164N18086
34,1.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,1898.0,1898183N21089
34,1.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,1898.0,1898197N25085
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1898.0,1898221N21089
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1898.0,1898225N24090
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1898.0,1898233N22091
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1898.0,1898240N24090
42,1.0,1.0,1.0,0.0,0.0,38.0,1.0,0.0,0.0,1898.0,1898254N18087
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1898.0,1898263N21089
50,1.0,1.0,1.0,0.0,0.0,46.0,1.0,0.0,0.0,1898.0,1898282N13085
50,1.0,1.0,1.0,0.0,0.0,46.0,1.0,0.0,0.0,1898.0,1898309N11085
34,1.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,1899.0,1899118N13094
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1899.0,1899194N23089
34,1.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,1899.0,1899220N16094
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1899.0,1899239N20087
58,1.0,1.0,1.0,0.0,0.0,54.0,1.0,0.0,0.0,1899.0,1899252N18092
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1899.0,1899264N17089
34,1.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,1899.0,1899285N11082
34,1.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,1900.0,1900162N19088
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1900.0,1900173N21088
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1900.0,1900194N21088
34,1.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,1900.0,1900210N19088
42,1.0,1.0,1.0,0.0,0.0,38.0,1.0,0.0,0.0,1900.0,1900221N20088
50,1.0,1.0,1.0,0.0,0.0,46.0,1.0,0.0,0.0,1900.0,1900227N20091
42,1.0,1.0,1.0,0.0,0.0,38.0,1.0,0.0,0.0,1900.0,1900237N21090
98,1.0,1.0,1.0,0.0,0.0,94.0,1.0,0.0,0.0,1900.0,1900258N21088
50,1.0,1.0,1.0,0.0,0.0,46.0,1.0,0.0,0.0,1900.0,1900277N15087
10,1.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,1900.0,1900296N11085
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1901.0,1901264N17085
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1901.0,1901278N17087
34,1.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,1901.0,1901286N17087
34,1.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,1901.0,1901318N16084
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1901.0,1901328N12088
10,1.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,1902.0,1902125N14095
34,1.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,1902.0,1902196N21089
50,1.0,1.0,1.0,0.0,0.0,46.0,1.0,0.0,0.0,1902.0,1902208N22088
34,1.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,1902.0,1902231N18086
34,1.0,1.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,1902.0,1902236N20088
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1902.0,1902244N21088
26,1.0,1.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,1902.0,1902266N18090
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1902.0,1902300N09085
10,1.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,1903.0,1903176N22088
18,1.0,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1903.0,1903193N18087
10,1.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,1903.0,1903204N21087
